geocode	commune	pop1950	pop1960	pop1970	pop1980	pop1990	pop1995	pop2000	pop2005	pop2010	pop2014	pop2015	pop2016	etbl14	s1_etbl14	s2_etbl14	s3_etbl14	etp14	s1_etp14	s2_etp14	s3_etp14
5764	Vallorbe	4024	4046	3947	3345	3222	3149	3073	3147	3293	3569	3650	3747	214	17	38	159	1276.28086	34.5876605	583.2307572	658.4624424
5765	Vaulion	693	582	434	384	436	442	445	457	455	483	491	494	49	12	13	24	113.9230513	41.5945076	40.6063532	31.7221905
5766	Vuiteboeuf	307	294	277	233	304	434	415	477	492	516	538	556	48	9	10	29	155.007259	16.8376605	25.3860078	112.7835907
5785	Corcelles-le-Jorat	370	373	375	358	383	401	412	424	415	443	421	425	31	11	4	16	55.8396317	27	9.8280021	19.0116296
5788	Essertes	141	132	120	189	237	270	247	266	305	330	330	335	23	3	4	16	37.212516	6.75	10.2285613	20.2339547
5790	Maracon	290	262	211	241	352	391	414	427	457	444	444	449	31	8	3	20	63.0673715	13.25	26.744341	23.0730305
5792	Montpreveyres	238	198	260	251	295	285	362	487	530	597	628	621	34	2	9	23	77.6185462	3	34.1687483	40.4497979
5798	Ropraz	242	207	238	271	345	354	343	361	368	409	405	438	47	11	8	28	63.0647863	18.4723135	9.2092408	35.383232
5799	Servion	398	347	390	737	1104	1524	1596	1731	1776	1893	1908	1918	145	6	26	113	382.7120745	12.25	84.7559873	285.7060872
5803	Vulliens	342	301	287	291	347	387	433	422	429	442	462	466	39	15	5	19	60.7600283	28.25	9.8309993	22.679029
5804	Jorat-Menthue	838	716	653	787	974	1068	1122	1215	1309	1469	1518	1545	102	32	20	50	276.0896936	62.675321	91.6129504	121.8014222
5805	Oron	2551	2485	2469	2737	3369	3712	3837	4095	4609	5180	5297	5397	415	65	69	281	1643.523751	118.7142655	585.3629889	939.4464964
5806	Jorat-Mézières	1065	1034	1063	1287	1747	1882	2017	2200	2304	2625	2755	2814	194	27	32	135	533.5672585	87.2823832	80.3717384	365.9131369
5812	Champtauroz	160	142	112	101	105	112	108	117	123	137	133	130	15	8	0	7	18.6513589	11	0	7.6513589
5813	Chevroux	339	313	296	286	299	334	391	395	407	418	430	446	39	14	8	17	65.9650469	19.775963	15.5311812	30.6579027
5816	Corcelles-près-Payerne	1241	1239	1285	1309	1415	1537	1637	1824	1901	2091	2229	2393	141	33	29	79	550.5269758	77.851384	288.9842647	183.6913271
5817	Grandcour	765	720	660	724	736	765	751	763	794	863	856	885	73	29	15	29	164.0440069	52.25	71.5553274	40.2386795
5819	Henniez	273	262	274	264	268	262	244	238	247	287	339	338	19	3	3	13	312.4527127	6.75	269.4921944	36.2105183
5821	Missy	313	299	286	272	263	284	283	273	311	335	350	361	33	18	3	12	57.2135886	29.25	14.4125886	13.551
5822	Payerne	5646	6052	6948	6693	7087	7357	7269	7775	8662	9207	9302	9301	739	36	131	572	5088.97041	91.5999999	963.5602403	4033.81017
5827	Trey	334	287	266	244	217	234	226	235	258	267	255	260	22	13	4	5	87.740756	53	8.6236395	26.1171165
5828	Treytorrens	158	136	107	110	114	131	117	117	123	120	124	131	13	8	2	3	21.4138478	16	2.8362549	2.5775929
5830	Villarzel	484	448	416	372	325	360	384	373	363	413	415	424	39	18	6	15	80.9339991	34.25	16.6294998	30.0544993
5831	Valbroye	2408	2242	2284	2280	2456	2601	2559	2609	2685	2928	2960	2974	247	80	42	125	905.5388359	176.1438514	437.8244938	291.5704907
5841	Château-d'Œx	3361	3308	3131	2921	3073	3111	3034	3098	3214	3440	3408	3477	417	85	70	262	1280.012096	178.451284	258.3939943	843.1668176
5842	Rossinière	609	520	478	454	471	502	487	492	509	552	565	546	61	14	18	29	109.4162712	24.3	38.6443081	46.4719631
5843	Rougemont	950	832	787	801	875	917	933	903	903	882	881	892	96	26	19	51	269.0269707	45.5	68.7068624	154.8201083
5851	Allaman	356	363	393	344	399	397	386	401	399	401	393	432	69	15	8	46	317.618922	36.1136235	50.097448	231.4078505
5852	Bursinel	219	171	172	175	274	326	326	356	488	471	477	485	31	6	3	22	57.7260463	19.2	5.4628916	33.0631547
5853	Bursins	336	264	272	354	451	447	525	667	737	764	772	766	58	10	11	37	337.2033289	32.45	65.7068096	239.0465193
5854	Burtigny	305	261	223	265	299	302	304	291	337	371	352	359	40	10	8	22	124.6459001	15.0876605	66.7859187	42.7723209
5855	Dully	127	123	123	260	349	389	426	479	546	612	636	633	28	4	2	22	60.7471763	13	2	45.7471763
5856	Essertines-sur-Rolle	395	325	290	300	426	467	467	559	667	698	700	695	43	13	7	23	81.5832595	24.25	13.3286169	44.0046426
5857	Gilly	523	523	533	565	675	691	768	840	932	1074	1131	1230	65	20	11	34	231.7226415	71.350642	35.8613731	124.5106264
5858	Luins	226	203	231	211	322	357	310	482	531	608	633	625	47	11	7	29	107.9975652	32	20.3491018	55.6484634
5859	Mont-sur-Rolle	685	678	699	1050	1489	1636	1748	1887	2437	2602	2594	2660	108	26	9	73	348.8486637	70.25	22.6035347	255.995129
5860	Perroy	544	526	575	764	978	1130	1121	1242	1336	1395	1464	1453	90	9	20	61	233.0051939	33.675321	68.7237122	130.6061607
5861	Rolle	2711	2960	3610	3261	3510	3987	4116	4591	5751	5900	6047	6142	543	12	63	468	3677.152577	42.175321	552.7512536	3082.226002
5862	Tartegnin	140	130	121	133	174	183	185	209	226	228	230	236	22	9	4	9	63.8075682	30	10.4391905	23.3683777
5863	Vinzel	109	106	132	143	217	240	283	284	352	352	349	352	35	6	4	25	87.1789367	24.5	5.2682664	57.4106703
5871	L'Abbaye	1153	1131	1407	1133	1119	1158	1257	1244	1312	1433	1423	1439	111	8	41	62	1297.85847	15.8376605	1126.545559	155.4752497
5872	Le Chenit	4595	5295	5562	4528	4322	4341	4133	4083	4281	4496	4614	4608	339	26	92	221	5150.902712	69.2062005	3746.280423	1335.416089
5873	Le Lieu	1014	980	984	757	777	802	797	844	869	856	859	873	77	14	22	41	620.4172989	26.5876605	512.2393805	81.5902579
5881	Blonay	1373	1448	2125	3057	4146	4472	4773	5272	5851	6110	6132	6116	325	14	32	279	1307.277558	33.25	139.512964	1134.514594
5882	Chardonne	1174	1388	1625	1842	2074	2256	2611	2765	2736	2835	2889	2916	178	27	19	132	545.6802692	69.25	32.7736031	443.6566661
5883	Corseaux	1219	1257	1544	1942	2126	2095	2077	2092	2131	2172	2172	2212	119	4	15	100	341.2748372	18.75	72.4581258	250.0667114
5884	Corsier-sur-Vevey	1541	1871	2697	3103	3186	3245	3097	3119	3211	3393	3427	3403	175	13	36	126	1124.050016	17.675321	589.6404669	516.7342282
5885	Jongny	326	380	461	746	1117	1231	1289	1336	1436	1475	1493	1488	72	8	4	60	142.3224384	7	6.1370576	129.1853808
5886	Montreux	16994	17609	19882	19477	20919	20934	21895	23010	24884	26072	26283	26402	1962	29	238	1695	10088.55881	59.601284	1163.264007	8865.69352
5888	Saint-Légier-La Chiésaz	1393	1582	2194	2785	3486	3666	3966	4343	4939	5084	5071	5130	303	15	41	247	1943.416367	25.55	534.3846506	1383.481717
5889	La Tour-de-Peilz	5032	6758	8843	9355	10212	10180	10104	10470	10748	11207	11421	11637	563	8	68	487	2439.434813	24.375321	251.714167	2163.345325
5890	Vevey	14325	16128	17691	15279	15249	15644	15364	16641	18224	18838	19217	19605	1871	5	167	1699	11530.01023	18.9033927	1241.170507	10269.93633
5891	Veytaux	708	795	838	784	780	867	835	806	822	845	854	850	56	1	12	43	158.6417627	4	48.4418947	106.199868
5902	Belmont-sur-Yverdon	270	222	186	189	194	207	246	273	290	357	369	368	36	12	10	14	47.3733764	20.75	11.1862117	15.4371647
5903	Bioley-Magnoux	187	175	174	151	166	172	174	173	166	196	201	230	15	6	6	3	20.4526272	9.25	4.4385161	6.7641111
5904	Chamblon	225	168	185	209	359	424	487	554	563	590	568	548	35	1	8	26	206.7561842	2	7.0493515	197.7068327
5905	Champvent	476	429	383	371	435	416	461	520	583	600	617	652	57	19	12	26	183.5733961	52.75	83.7191318	47.1042643
5907	Chavannes-le-Chêne	262	220	205	246	226	235	236	243	254	274	278	300	29	6	6	17	44.7055203	8.25	17.1555712	19.2999491
5908	Chêne-Pâquier	149	115	107	104	110	100	105	98	117	132	125	140	10	4	3	3	37.3238508	6.75	24.4667779	6.1070729
5909	Cheseaux-Noréaz	106	94	129	339	543	525	532	489	625	663	664	670	40	7	1	32	212.2714279	21.25	0.9917472	190.0296807
5910	Cronay	327	298	281	248	296	322	309	317	321	352	364	380	31	15	2	14	50.9512965	29.826605	4.4752417	16.6494498
5911	Cuarny	200	162	154	153	169	174	178	180	171	204	216	237	28	11	7	10	42.8244717	16.75	9.234677	16.8397947
5912	Démoret	163	142	125	115	122	117	132	131	129	126	123	126	20	12	2	6	34.8758679	21.75	9.358476	3.7673919
5913	Donneloye	539	507	434	475	578	631	629	663	720	728	765	779	64	21	17	26	110.8175506	34.75	45.196416	30.8711346
5914	Ependes	285	241	202	199	251	297	317	311	324	344	345	350	24	7	4	13	33.5486739	10.5	3.2003554	19.8483185
5919	Mathod	382	301	305	287	355	400	460	493	554	552	581	614	40	10	6	24	85.3896099	27.5	31.3443574	26.5452525
5921	Molondin	249	203	190	168	180	196	189	173	208	228	224	218	25	8	6	11	66.4503271	14.35	20.20587	31.8944571
5922	Montagny-près-Yverdon	342	354	367	375	529	628	601	625	708	725	713	733	164	6	35	123	1162.112235	17.05	202.7472241	942.3150107
5923	Oppens	147	146	121	145	155	152	164	174	169	176	182	182	18	9	2	7	106.8267912	57.5876605	4.7576394	44.4814913
5924	Orges	215	163	152	168	176	208	204	228	263	274	275	292	25	6	8	11	81.4572361	10.5129815	39.7431052	31.2011494
5925	Orzens	216	207	185	163	198	205	195	213	200	197	211	200	22	8	7	7	48.0869377	12	25.0067976	11.0801401
5926	Pomy	444	414	387	409	454	483	519	612	669	735	730	760	51	16	13	22	189.1845271	52.75	38.59187	97.8426571
5928	Rovray	145	134	127	115	131	168	129	135	143	165	176	172	15	10	3	2	26.0152506	20.75	4.206239	1.0590116
5929	Suchy	322	277	260	248	290	321	342	356	428	525	542	606	36	14	8	14	67.2491784	22	29.1079437	16.1412347
5930	Suscévaz	179	137	139	170	166	164	173	182	183	199	199	202	16	9	2	5	29.6822803	13.5	9.2194892	6.9627911
5931	Treycovagnes	196	186	191	170	250	369	467	475	461	471	462	446	40	3	8	29	92.487319	3.75	49.2015713	39.5357477
5932	Ursins	173	134	118	135	183	168	163	181	197	208	207	210	13	7	2	4	17.0415046	8	5.9504834	3.0910212
5933	Valeyres-sous-Montagny	169	193	299	351	483	531	531	581	651	642	661	689	31	6	8	17	64.2195927	13.75	27.3659933	23.1035994
5934	Valeyres-sous-Ursins	161	139	129	147	183	178	182	205	231	241	245	247	21	11	1	9	39.1511917	12.75	7.4572765	18.9439152
5935	Villars-Epeney	50	39	27	32	40	53	49	63	77	89	90	105	13	2	1	10	22.0594194	4.5	0.7474173	16.8120021
5937	Vugelles-La Mothe	165	107	101	131	116	99	104	97	126	137	135	134	9	4	2	3	12.9777341	7.675321	2.4529381	2.849475
5938	Yverdon-les-Bains	12437	16597	20807	20330	22058	23341	23188	24540	27234	28972	29308	29570	2083	18	288	1777	13878.05143	263.6784965	2263.421391	11350.95154
5939	Yvonand	1311	1305	1349	1455	1891	2122	2216	2409	2513	3095	3152	3236	194	13	44	137	709.0134886	28.5876605	280.5692065	399.8566216
