geocode	commune	pop1950	pop1960	pop1970	pop1980	pop1990	pop1995	pop2000	pop2005	pop2010	pop2014	pop2015	pop2016	etbl14	s1_etbl14	s2_etbl14	s3_etbl14	etp14	s1_etp14	s2_etp14	s3_etp14
5534	Rueyres	181	139	120	125	177	171	196	221	238	261	265	271	16	6	3	7	73.3571223	10.25	43.3835322	19.7235901
5535	Saint-Barthélemy	311	351	317	373	446	532	615	640	749	776	782	777	55	14	9	32	239.0258629	16.5468148	21.1016454	201.3774027
5537	Villars-le-Terroir	549	484	504	525	595	611	659	748	783	944	1033	1066	60	25	2	33	102.0739753	37.3376605	19.3152135	45.4211013
5539	Vuarrens	433	416	429	459	548	543	547	628	779	930	935	993	71	26	12	33	105.0359514	34.5	19.7861841	50.7497673
5540	Montilliez	773	700	686	695	947	1019	1105	1169	1442	1635	1656	1698	113	29	24	60	174.3501694	51.5949344	53.3497768	69.4054582
5541	Goumoëns	506	498	466	476	572	641	705	755	852	962	1055	1051	64	24	7	33	202.4419782	39.25	44.9970386	118.1949396
5551	Bonvillars	357	273	273	291	312	363	357	408	505	514	506	495	36	14	6	16	99.7774119	24.5876605	43.9965947	31.1931567
5552	Bullet	622	549	463	451	477	493	544	566	584	596	606	629	54	13	9	32	147.9295953	30.5636235	25.0222341	92.3437377
5553	Champagne	478	442	465	504	530	654	648	683	808	1005	1048	1027	57	8	11	38	300.6661355	18.3376605	215.1557573	67.1727177
5554	Concise	698	656	641	613	596	628	700	713	793	932	954	960	70	10	11	49	118.8535025	34.5	18.3707814	65.9827211
5555	Corcelles-près-Concise	215	215	206	244	246	291	270	283	273	331	337	379	22	13	2	7	92.4031487	26.7889445	2.2277376	63.3864666
5556	Fiez	272	206	219	234	282	312	347	380	408	411	421	427	22	8	4	10	40.4562454	13.75	8.5224355	18.1838099
5557	Fontaines-sur-Grandson	146	134	123	99	102	116	132	137	146	183	191	200	16	5	4	7	18.2675574	6.5	5.5550131	6.2125443
5559	Giez	212	182	198	282	329	337	348	366	349	384	389	408	43	12	8	23	75.2091501	20.75	28.8876086	25.5715415
5560	Grandevent	72	68	61	108	128	122	144	180	211	226	232	232	13	3	2	8	13.8667915	6.25	1.4948346	6.1219569
5561	Grandson	1803	2097	2143	1880	2294	2458	2630	2854	3031	3244	3303	3313	199	4	41	154	1176.443082	7.0876605	292.2411382	877.1142833
5562	Mauborget	73	54	47	50	80	79	83	94	93	110	119	123	11	5	0	6	13.2968951	9	0	4.2968951
5563	Mutrux	118	104	82	84	124	110	124	139	134	149	153	162	10	4	1	5	17.0382357	8.5	1.506793	7.0314427
5564	Novalles	81	85	69	70	90	101	100	101	99	102	102	101	12	4	4	4	13.7349713	7.75	3.1015529	2.8834184
5565	Onnens	274	251	226	288	343	388	399	434	474	500	493	500	35	9	3	23	68.6516498	25.0649075	2.8943694	40.6923729
5566	Provence	448	385	325	297	317	329	352	373	349	373	385	390	48	21	7	20	125.7124949	45.175321	22.2451749	58.291999
5568	Sainte-Croix	6596	7047	6337	4698	4397	4280	4122	4278	4489	4732	4763	4851	346	34	80	232	1288.31769	57.5389445	563.0283376	667.7504078
5571	Tévenon	339	311	268	349	469	578	628	669	696	760	811	791	39	10	4	25	72.3340599	18.175321	3.1549762	51.0037627
5581	Belmont-sur-Lausanne	406	528	836	1383	2061	2188	2369	2925	3356	3554	3602	3564	181	5	17	159	406.1760519	12.75	77.8031994	315.6228525
5582	Cheseaux-sur-Lausanne	397	493	1602	2399	2806	2810	2897	3169	3895	4080	4297	4347	217	15	35	167	1921.957439	23.2643412	601.7976183	1296.895479
5583	Crissier	2081	3155	4379	4397	5224	5678	6137	6714	7087	7407	7542	7636	740	8	172	560	7051.835523	11.25	2242.308887	4798.276637
5584	Epalinges	854	1329	3805	5067	6809	7228	7493	7775	8482	8912	9185	9297	461	3	34	424	1923.540792	3.25	121.4227242	1798.868068
